tract,all,all_no,all_hs,all_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
2102,2531,576,1955,900,349,15,334,311,995,32,963,350,27,27,0,0,17,0,17,17,0,0,0,0,466,230,236,44,90,0,90,78,587,272,315,100
2201,1502,209,1293,779,399,54,345,251,660,49,611,271,0,0,0,0,47,0,47,33,0,0,0,0,105,26,79,67,75,0,75,75,216,80,136,82
2202,1111,152,959,430,182,13,169,139,553,26,527,284,0,0,0,0,7,0,7,7,0,0,0,0,169,50,119,0,18,0,18,0,182,63,119,0
2301,1208,36,1172,907,399,0,399,377,385,24,361,223,0,0,0,0,36,0,36,36,0,0,0,0,153,6,147,105,24,0,24,24,211,6,205,142
2302,784,70,714,435,411,0,411,287,283,52,231,85,0,0,0,0,34,0,34,34,0,0,0,0,9,9,0,0,29,0,29,29,18,9,9,0
2400,2389,1083,1306,719,742,76,666,524,411,85,326,71,0,0,0,0,22,0,22,22,0,0,0,0,65,32,33,33,465,391,74,18,684,499,185,51
2501,1961,518,1443,430,242,8,234,202,477,96,381,76,0,0,0,0,8,0,8,8,0,0,0,0,563,192,371,41,47,15,32,24,624,207,417,79
2503,1765,310,1455,1042,422,0,422,417,971,146,825,478,0,0,0,0,47,0,47,47,0,0,0,0,82,82,0,0,48,0,48,48,195,82,113,52
2504,2434,664,1770,794,709,123,586,318,579,182,397,182,0,0,0,0,86,0,86,63,0,0,0,0,234,118,116,0,178,0,178,178,648,241,407,53
2600,1237,50,1187,865,483,0,483,443,456,2,454,351,0,0,0,0,60,0,60,46,0,0,0,0,59,24,35,2,52,0,52,6,127,24,103,17
2702,2972,641,2331,1893,1617,0,1617,1542,305,201,104,24,5,0,5,5,109,0,109,80,0,0,0,0,246,140,106,47,192,107,85,17,498,193,305,178
2703,1224,141,1083,900,566,13,553,530,284,13,271,145,0,0,0,0,43,0,43,43,0,0,0,0,47,47,0,0,84,4,80,80,200,64,136,102
2704,2083,512,1571,1033,702,0,702,609,260,0,260,56,37,0,37,37,239,21,218,152,0,0,0,0,235,235,0,0,52,0,52,16,558,256,302,163
2801,1819,349,1470,935,798,65,733,702,247,20,227,35,0,0,0,0,109,0,109,64,0,0,0,0,199,102,97,18,76,0,76,30,390,162,228,86
2802,2762,580,2182,1410,1094,51,1043,949,247,36,211,66,60,0,60,5,96,0,96,0,0,0,0,0,399,221,178,37,66,0,66,54,800,272,528,299
2900,2104,342,1762,1293,1080,0,1080,1023,437,68,369,67,0,0,0,0,75,0,75,75,0,0,0,0,150,115,35,29,75,22,53,25,287,137,150,74
3000,1579,289,1290,913,811,65,746,670,212,9,203,92,0,0,0,0,19,0,19,19,0,0,0,0,120,41,79,25,53,34,19,19,364,140,224,88
3100,1802,240,1562,1200,858,14,844,819,359,50,309,102,0,0,0,0,48,0,48,48,0,0,0,0,207,81,126,65,0,0,0,0,330,95,235,166
3200,2349,488,1861,979,544,11,533,457,719,102,617,197,0,0,0,0,47,1,46,46,0,0,0,0,376,156,220,70,56,1,55,52,607,217,390,157
3301,2157,68,2089,1817,1144,9,1135,1049,768,46,722,566,0,0,0,0,40,0,40,40,0,0,0,0,40,0,40,40,49,0,49,34,116,13,103,88
3302,933,11,922,800,499,0,499,476,350,11,339,249,0,0,0,0,31,0,31,31,0,0,0,0,0,0,0,0,8,0,8,8,45,0,45,36
3400,1042,41,1001,813,585,0,585,581,312,41,271,92,0,0,0,0,41,0,41,36,0,0,0,0,58,0,58,58,27,0,27,27,19,0,19,19
3500,1351,131,1220,931,695,0,695,648,380,47,333,178,35,0,35,11,37,0,37,37,0,0,0,0,82,42,40,9,26,0,26,25,96,42,54,23
3600,2272,174,2098,1645,1172,21,1151,1057,505,102,403,74,0,0,0,0,222,0,222,222,0,0,0,0,15,0,15,15,46,15,31,31,312,36,276,246
3701,1194,86,1108,1052,924,11,913,893,88,0,88,52,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,4,0,4,4,146,43,103,103
3702,769,18,751,441,408,0,408,367,113,18,95,0,0,0,0,0,56,0,56,56,0,0,0,0,61,0,61,0,35,0,35,0,96,0,96,18
3801,742,0,742,720,532,0,532,525,65,0,65,50,0,0,0,0,60,0,60,60,0,0,0,0,0,0,0,0,20,0,20,20,65,0,65,65
3802,1686,35,1651,1441,919,20,899,860,352,15,337,166,0,0,0,0,69,0,69,69,0,0,0,0,140,0,140,140,24,0,24,24,182,0,182,182
3901,959,0,959,848,679,0,679,617,97,0,97,48,0,0,0,0,49,0,49,49,0,0,0,0,23,0,23,23,53,0,53,53,58,0,58,58
