tract,all,all_no,all_hs,all_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
9203,1091,62,1029,632,243,0,243,220,669,58,611,254,23,0,23,23,21,0,21,12,0,0,0,0,35,0,35,35,17,0,17,17,83,4,79,71
9204,1024,190,834,186,132,36,96,96,393,48,345,70,25,0,25,0,0,0,0,0,0,0,0,0,180,35,145,2,31,0,31,0,263,71,192,18
9301,1561,118,1443,941,813,0,813,715,558,71,487,171,0,0,0,0,25,0,25,25,0,0,0,0,0,0,0,0,118,0,118,30,47,47,0,0
9302,808,89,719,332,196,1,195,139,278,54,224,107,0,0,0,0,26,0,26,26,0,0,0,0,97,17,80,0,39,0,39,39,172,17,155,21
9400,1912,184,1728,791,469,18,451,265,1264,154,1110,438,15,0,15,15,42,7,35,16,0,0,0,0,72,0,72,28,37,0,37,29,13,5,8,0
9503,953,41,912,471,221,0,221,209,718,41,677,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14
9504,1106,37,1069,590,423,0,423,324,525,37,488,120,12,0,12,12,114,0,114,102,0,0,0,0,0,0,0,0,9,0,9,9,23,0,23,23
9505,1319,143,1176,543,248,8,240,229,905,81,824,281,8,0,8,0,0,0,0,0,0,0,0,0,36,26,10,10,56,0,56,13,66,28,38,10
9507,740,96,644,163,41,0,41,37,443,12,431,60,0,0,0,0,4,0,4,4,0,0,0,0,126,42,84,31,0,0,0,0,126,42,84,31
9508,1413,134,1279,426,103,0,103,92,819,68,751,269,39,0,39,0,16,0,16,1,0,0,0,0,149,33,116,7,56,0,56,16,231,33,198,41
9509,1081,198,883,299,122,12,110,110,721,27,694,122,0,0,0,0,0,0,0,0,0,0,0,0,118,67,51,51,0,0,0,0,120,92,28,16
9510,1988,794,1194,394,153,28,125,60,887,102,785,240,0,0,0,0,26,0,26,26,0,0,0,0,434,318,116,34,13,0,13,0,475,346,129,34
9511,125,0,125,117,118,0,118,110,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
9601,492,100,392,139,23,2,21,21,440,98,342,90,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,14,0,14,14,14,0,14,14
9602,912,132,780,307,11,0,11,11,666,108,558,96,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,112,12,100,100,112,12,100,100
9603,1364,193,1171,302,0,0,0,0,1256,161,1095,256,0,0,0,0,13,0,13,13,0,0,0,0,36,16,20,10,10,0,10,0,49,16,33,23
9604,653,148,505,185,23,0,23,23,555,114,441,148,11,11,0,0,0,0,0,0,0,0,0,0,6,6,0,0,5,0,5,5,53,17,36,9
9700,944,299,645,74,67,11,56,37,850,282,568,37,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,19,6,13,0
9801,419,53,366,44,0,0,0,0,406,47,359,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,7,7
9802,624,106,518,141,46,0,46,0,527,106,421,141,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,39,0
9803,999,416,583,19,16,0,16,0,893,326,567,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,45,45,0,0
9804,561,69,492,114,23,13,10,7,528,56,472,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0
9807,1442,83,1359,271,50,0,50,14,1154,83,1071,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,215,23,23,0,23,23
9810,1170,34,1136,36,59,0,59,0,942,34,908,36,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,78,0,78,0,62,0,62,0
9811,862,160,702,41,41,0,41,41,803,142,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0
9901,1091,92,999,541,125,8,117,106,855,76,779,340,0,0,0,0,9,0,9,9,0,0,0,0,19,0,19,19,26,0,26,18,57,8,49,49
9902,1401,174,1227,120,53,0,53,33,1276,174,1102,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,0,36,0,36,0
9903,887,96,791,176,103,0,103,103,784,96,688,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9904,838,148,690,186,26,0,26,2,650,68,582,178,0,0,0,0,0,0,0,0,15,0,15,0,41,40,1,0,23,0,23,6,83,40,43,0
9905,828,44,784,130,37,9,28,0,775,35,740,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0
9906,593,71,522,190,28,11,17,17,548,60,488,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,9,0,9,0
9907,878,362,516,131,6,0,6,0,864,354,510,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0
10100,1219,0,1219,972,773,0,773,683,210,0,210,72,0,0,0,0,98,0,98,98,0,0,0,0,39,0,39,39,19,0,19,0,80,0,80,80
10201,1241,0,1241,1066,729,0,729,692,220,0,220,113,21,0,21,21,102,0,102,71,0,0,0,0,0,0,0,0,62,0,62,62,107,0,107,107
10202,544,20,524,458,351,10,341,311,132,0,132,96,0,0,0,0,8,0,8,8,0,0,0,0,11,0,11,11,4,0,4,4,38,10,28,28
10300,1998,391,1607,751,381,0,381,299,985,137,848,212,0,0,0,0,6,0,6,6,0,0,0,0,259,127,132,96,21,0,21,5,346,127,219,133
10400,1309,214,1095,178,82,6,76,47,1184,208,976,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,15,0,15,0
10500,1885,117,1768,1398,1118,0,1118,1040,509,117,392,140,0,0,0,0,17,0,17,0,0,0,0,0,15,0,15,15,106,0,106,106,120,0,120,97
10601,737,2,735,661,472,2,470,417,59,0,59,38,0,0,0,0,34,0,34,34,0,0,0,0,68,0,68,68,18,0,18,18,86,0,86,86
10602,2112,0,2112,1749,1237,0,1237,1162,482,0,482,221,0,0,0,0,134,0,134,107,0,0,0,0,0,0,0,0,120,0,120,120,139,0,139,139
10603,551,0,551,402,352,0,352,316,155,0,155,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,43,0,43,23
10700,808,46,762,622,458,46,412,384,25,0,25,0,0,0,0,0,74,0,74,74,71,0,71,0,9,0,9,9,32,0,32,24,139,0,139,131
10800,410,0,410,353,199,0,199,175,45,0,45,12,0,0,0,0,116,0,116,116,0,0,0,0,7,0,7,7,12,0,12,12,31,0,31,31
10900,893,85,808,164,3,0,3,3,697,73,624,117,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,181,0,181,44,0,0,0,0
11001,1154,21,1133,780,613,0,613,474,367,21,346,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,43,131,0,131,35
11002,742,0,742,621,511,0,511,438,112,0,112,112,0,0,0,0,24,0,24,24,0,0,0,0,17,0,17,0,14,0,14,0,64,0,64,47
11100,2712,743,1969,856,288,83,205,172,1552,222,1330,490,11,0,11,11,34,11,23,23,0,0,0,0,225,180,45,9,175,0,175,90,427,247,180,61
980000,13,0,13,13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
