"tract","offense","lat","long","female_pop","male_pop","total_pop","white","black","aian","asian","nhpi","other","multi","hisp"
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.90508182","-77.0575874295",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.905225426","-77.0586482171",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9116356821","-77.065583064",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9025854892","-77.0596144501",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9084393718","-77.06257091",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.905225426","-77.0586482171",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9142112943","-77.0669460306",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9162194455","-77.0681701824",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9086097622","-77.0639891987",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9136986556","-77.0654696569",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9055925925","-77.062833582",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9086097622","-77.0639891987",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9152289174","-77.0675004574",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"MOTOR VEHICLE THEFT","38.9076197296","-77.0623511319",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9052068897","-77.0596742862",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
