"tract","white_pop","black_pop","asian_pop","hisp_pop","aian_pop","nhpi_pop","other_pop","multi_pop"
101,1016,0,54,151,0,0,14,2
102,2519,34,118,332,0,0,147,94
201,48,9,30,8,0,0,0,0
202,2684,47,112,175,0,18,81,12
300,3768,111,301,421,0,0,38,163
400,807,32,285,157,0,0,5,42
501,2155,233,359,176,0,0,19,168
502,2252,151,94,379,44,0,89,136
600,2827,411,223,332,0,0,66,111
702,1979,322,134,267,15,0,21,237
703,2144,457,42,238,40,0,0,186
704,1572,84,330,55,0,0,0,27
802,2171,200,165,255,0,0,53,151
803,1322,93,232,174,0,0,32,76
804,1984,103,161,114,0,0,11,48
902,1513,55,66,185,0,0,3,37
903,672,47,25,72,0,0,0,19
904,1932,126,80,204,0,0,45,42
1002,1977,180,187,267,0,0,13,148
1003,1897,19,119,131,0,0,48,9
1004,2513,187,134,99,0,0,6,51
1100,2676,523,198,204,77,12,27,118
1200,3163,314,455,378,0,0,60,36
1301,2694,432,243,381,0,0,103,36
1303,2120,220,256,204,0,0,171,151
1304,3189,260,195,342,0,0,0,341
1401,1836,181,430,251,8,0,64,39
1402,1911,390,84,379,0,35,99,52
1500,3260,441,92,417,0,0,175,155
1600,980,2308,35,163,0,0,39,178
1702,1334,1361,23,234,0,0,56,107
1803,395,1879,2,719,0,0,644,75
1804,394,2644,55,1337,0,0,931,153
1901,739,1932,55,445,0,0,98,108
1902,564,1025,24,396,0,0,166,40
2001,436,1123,78,848,0,0,725,30
2002,1097,1465,51,489,6,0,86,250
2101,751,2540,122,697,38,0,399,149
2102,624,2589,37,1058,83,0,811,119
2201,831,1250,64,487,23,0,296,135
2202,419,1196,24,333,7,0,268,34
2301,716,1428,67,376,0,0,245,86
2302,513,684,121,30,0,0,12,29
2400,1504,1165,85,973,0,0,81,586
2501,553,924,42,902,0,0,779,67
2503,997,1339,98,572,0,0,258,106
2504,1270,873,192,1168,0,0,470,245
2600,852,1051,115,251,8,0,143,66
2702,3214,552,271,868,5,0,480,313
2703,1174,562,51,389,0,0,118,121
2704,1219,894,276,779,96,0,287,126
2801,1487,715,286,771,0,0,429,157
2802,1963,774,573,1196,60,0,630,157
2900,1883,940,189,626,0,0,363,156
3000,1541,966,131,643,0,0,195,95
3100,1664,795,123,602,25,0,439,44
3200,1048,1752,131,1127,0,0,746,78
3301,1967,1353,150,198,0,0,55,75
3302,903,715,73,87,0,0,23,29
3400,932,788,71,300,0,0,58,469
3500,1167,853,112,208,37,0,146,85
3600,2345,1261,350,541,0,0,81,95
3701,1322,218,89,287,0,0,67,83
3702,699,787,138,153,0,0,87,47
3801,1132,106,116,208,0,0,23,88
3802,1593,483,184,312,14,0,168,300
3901,1481,561,105,114,0,0,33,66
3902,1282,185,174,286,0,0,0,80
4001,3578,265,129,267,0,0,0,132
4002,2610,140,218,84,0,0,0,107
4100,1577,134,194,123,0,0,22,130
4201,2729,190,145,342,0,0,34,48
4202,1757,17,197,481,0,0,36,263
4300,2388,404,162,287,15,11,96,352
4401,1899,436,320,183,0,0,68,69
4402,1031,532,93,68,0,0,88,212
4600,1218,1056,141,149,0,0,18,40
4702,2253,728,183,238,7,0,78,91
4703,1163,446,709,275,0,0,189,3
4704,0,765,1,51,0,0,0,60
4801,1281,962,61,231,0,0,106,98
4802,1179,1051,381,313,29,0,93,51
4901,1758,861,71,261,0,0,67,44
4902,1742,713,359,276,0,0,48,125
5001,1367,268,151,97,0,0,34,37
5003,954,133,128,229,0,0,0,138
5004,1360,1075,295,433,0,0,94,119
5202,2357,191,75,160,0,0,0,68
5203,1407,424,66,755,555,0,147,115
5302,1757,13,331,230,0,0,153,44
5303,1923,78,347,202,0,0,35,106
5501,1350,15,24,301,0,0,0,68
5502,1761,184,79,211,0,0,66,96
5503,1493,76,269,90,0,0,0,0
5601,1153,0,267,285,0,0,11,229
5602,1504,126,602,306,13,0,60,132
5801,1204,209,365,210,0,0,15,43
5802,1275,184,136,244,0,0,0,120
5900,1161,398,117,168,0,0,33,23
6400,415,1304,23,37,0,0,10,38
6500,1895,285,28,248,0,0,136,50
6600,1524,25,65,51,0,0,0,63
6700,2918,591,198,164,0,17,0,42
6801,1040,603,225,147,0,0,26,36
6802,1056,751,36,81,0,0,7,46
6804,314,1867,7,142,43,0,50,20
6900,1508,336,10,39,0,0,1,64
7000,1654,122,74,184,0,0,67,33
7100,934,1076,155,153,0,0,0,91
7201,1032,149,36,190,0,0,31,132
7202,2624,191,147,167,0,0,16,53
7203,1270,558,131,76,0,0,0,29
7301,1714,448,163,220,0,0,45,101
7304,188,2525,0,62,0,0,49,9
7401,65,748,44,51,0,0,50,0
7403,0,1386,0,10,0,0,70,0
7404,120,2184,21,107,0,0,108,30
7406,3,1434,0,104,0,0,125,68
7407,86,2031,8,42,0,0,0,24
7408,76,1560,0,22,18,0,38,0
7409,9,2107,50,171,0,0,171,112
7502,44,2958,0,0,0,0,0,22
7503,186,1275,0,92,0,2,15,7
7504,16,1643,0,26,9,0,7,19
7601,419,3079,18,205,0,0,78,73
7603,120,2805,22,61,0,0,0,77
7604,169,2832,45,27,0,0,2,151
7605,149,2928,6,93,0,0,50,94
7703,16,4325,0,457,0,0,434,12
7707,77,2356,0,131,0,0,36,145
7708,0,1786,0,0,29,0,0,28
7709,29,1376,0,22,61,0,0,18
7803,142,2690,25,56,0,0,23,38
7804,77,2221,13,38,0,0,0,74
7806,95,2033,0,8,30,0,1,22
7807,17,1614,0,28,5,0,24,19
7808,18,2628,0,157,43,0,15,11
7809,1,1780,10,73,0,0,0,54
