"tract","arson_count","assault_with_dangerous_weapon_count","burglary_count","homicide_count","motor_vehicle_theft_count","robbery_count","sex_abuse_count","theft_from_auto_count","theft_other_count"
7808,"0","24","10","2","34","18","3","43","47"
7809,"0","13","5","2","24","12","1","43","30"
7901,"0","18","11","4","20","25","3","82","68"
7903,"0","13","4","0","15","14","0","40","56"
8001,"0","4","4","0","16","7","0","50","73"
8002,"0","2","4","0","14","12","1","49","59"
8100,"0","1","0","1","10","6","0","36","56"
8200,"0","0","9","0","6","3","0","29","35"
8301,"0","0","8","1","9","3","1","40","68"
8302,"0","1","3","0","10","9","0","42","134"
8402,"0","5","8","0","17","9","0","52","88"
8410,"0","7","31","1","16","13","0","63","56"
8701,"0","10","2","0","22","9","0","39","36"
8702,"0","10","10","0","31","11","1","72","36"
8802,"3","26","10","0","24","17","2","102","99"
8803,"0","27","16","0","32","24","4","163","140"
8804,"0","27","16","0","47","19","1","45","65"
8903,"0","18","9","2","18","15","1","46","39"
8904,"0","33","5","5","3","10","0","34","67"
9000,"0","6","6","0","20","9","1","93","68"
9102,"0","30","23","1","31","22","2","89","326"
9201,"0","4","4","1","10","7","0","55","33"
9203,"0","11","6","0","13","7","0","30","27"
9204,"0","12","4","0","11","11","0","17","46"
9301,"0","8","9","3","13","17","0","84","65"
9302,"0","6","2","1","10","12","0","30","9"
9400,"0","8","6","1","24","9","0","77","35"
9503,"0","1","1","0","8","8","0","35","16"
9504,"0","3","8","0","14","12","1","57","40"
9505,"0","4","3","0","26","9","1","83","62"
9507,"0","2","2","0","4","2","1","9","11"
9508,"0","2","2","0","9","11","0","41","29"
9509,"0","1","1","0","8","4","0","20","13"
9510,"0","3","2","1","21","19","0","38","32"
9511,"0","0","0","0","0","1","0","10","3"
9601,"0","12","7","5","21","18","2","28","23"
9602,"0","14","6","3","51","19","3","65","30"
9603,"0","32","13","7","49","37","2","67","144"
9604,"0","8","1","1","17","6","1","34","18"
9700,"0","15","3","3","17","14","0","11","16"
9801,"0","15","4","1","12","9","0","9","15"
9802,"0","13","2","1","11","9","2","9","15"
9803,"0","18","8","1","17","22","1","12","27"
9804,"0","6","6","0","14","28","0","8","20"
9807,"0","16","9","1","24","21","1","29","42"
9810,"0","11","1","1","11","13","0","18","13"
9811,"0","24","5","4","17","16","0","18","30"
9901,"0","5","3","0","10","7","1","32","40"
9902,"0","12","7","2","19","11","1","41","24"
9903,"0","6","3","1","15","9","0","33","6"
9904,"0","11","1","5","34","19","0","41","22"
9905,"0","9","5","2","36","12","1","25","30"
9906,"1","4","4","1","21","12","1","25","14"
9907,"0","16","5","1","8","10","0","17","14"
10100,"3","13","32","0","11","10","1","90","198"
10201,"0","3","0","1","7","7","0","14","42"
10202,"0","5","4","0","12","3","1","74","77"
10300,"0","5","6","0","16","9","0","54","31"
10400,"0","45","15","6","23","30","4","29","33"
10500,"0","10","5","0","13","9","1","21","40"
10601,"0","17","5","0","36","13","3","65","124"
10602,"0","8","13","1","40","15","1","107","151"
10603,"0","5","9","1","51","4","0","34","41"
10700,"1","11","48","2","23","20","1","127","301"
10800,"0","1","5","0","4","3","0","27","88"
10900,"0","16","1","1","13","7","0","22","44"
11001,"0","1","3","1","5","6","0","10","10"
11002,"0","1","0","0","0","1","0","4","4"
11100,"0","27","19","3","55","39","2","141","110"
980000,"0","3","0","1","2","1","0","16","14"
