tract,total_population,arson_count,assault_with_dangerous_weapon_count,burglary_count,homicide_count,motor_vehicle_theft_count,robbery_count,sex_abuse_count,theft_from_auto_count,theft_other_count,total_no_high_school,total_high_school_graduates,total_college_graduates,total_white_population,total_black_population,total_american_indian_population,total_asian_population,total_native_hawaiian_pacific_islander_population,total_other_population,total_multiracial_population,total_hispanic_population,white_no_high_school,white_high_school_graduates,white_college_graduates,black_no_high_school,black_high_school_graduates,black_college_graduates,aian_no_high_school,aian_high_school_graduates,aian_college_graduates,asian_no_high_school,asian_high_school_graduates,asian_college_graduates,nhpi_no_high_school,nhpi_high_school_graduates,nhpi_college_graduates,other_no_high_school,other_high_school_graduates,other_college_graduates,multi_no_high_school,multi_high_school_graduates,multi_college_graduates,hisp_no_high_school,hisp_high_school_graduates,hisp_college_graduates
9604,1779,0,8,1,1,17,6,1,34,18,247,1532,405,84,1580,22,0,0,11,13,69,7,77,71,195,1385,316,11,11,4,0,0,0,0,0,0,6,5,0,2,11,5,26,43,9
9700,2176,0,15,3,3,17,14,0,11,16,322,1854,629,77,2072,0,0,0,8,0,19,11,66,37,305,1767,592,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,13,0
9801,1434,0,15,4,1,12,9,0,9,15,384,1050,114,24,1239,34,0,0,0,44,93,0,24,6,364,875,57,7,27,19,0,0,0,0,0,0,0,0,0,0,44,0,13,80,32
9802,1512,0,13,2,1,11,9,2,9,15,218,1294,257,72,1354,0,12,0,9,0,65,17,55,0,166,1188,257,0,0,0,0,12,0,0,0,0,9,0,0,0,0,0,26,39,0
9803,2146,0,18,8,1,17,22,1,12,27,436,1710,174,39,1976,0,0,0,0,72,59,0,39,10,346,1630,123,0,0,0,0,0,0,0,0,0,0,0,0,45,27,27,45,14,14
9804,1554,0,6,6,0,14,28,0,8,20,139,1415,295,37,1430,0,6,0,12,25,44,13,24,14,121,1309,243,0,0,0,0,6,6,0,0,0,0,12,0,5,20,0,0,44,32
9807,2683,0,16,9,1,24,21,1,29,42,157,2526,517,83,2347,0,0,0,0,230,23,2,81,40,155,2192,431,0,0,0,0,0,0,0,0,0,0,0,0,0,230,23,0,23,23
9810,1844,0,11,1,1,11,13,0,18,13,67,1777,125,62,1613,0,0,0,29,78,62,0,62,0,67,1546,125,0,0,0,0,0,0,0,0,0,0,29,0,0,78,0,0,62,0
9811,2517,0,24,5,4,17,16,0,18,30,444,2073,134,41,2427,0,0,0,0,49,0,0,41,41,426,2001,74,0,0,0,0,0,0,0,0,0,0,0,0,18,31,19,0,0,0
9901,2213,0,5,3,0,10,7,1,32,40,162,2051,1095,199,1715,0,52,0,154,26,67,17,182,171,137,1578,683,0,0,0,0,52,41,0,0,0,0,154,123,0,26,18,8,59,59
9902,2778,0,12,7,2,19,11,1,41,24,305,2473,416,77,2629,0,0,0,0,36,36,2,75,47,303,2326,369,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,36,0
9903,1709,0,6,3,1,15,9,0,33,6,167,1542,465,163,1535,0,0,0,0,0,11,0,163,163,167,1368,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
9904,1847,0,11,1,5,34,19,0,41,22,275,1572,355,32,1512,0,0,15,72,51,165,0,32,5,135,1377,319,0,0,0,0,0,0,0,15,0,70,2,0,0,51,31,70,95,0
9905,1736,0,9,5,2,36,12,1,25,30,114,1622,328,40,1621,0,0,0,21,54,0,9,31,2,105,1516,326,0,0,0,0,0,0,0,0,0,0,21,0,0,54,0,0,0,0
9906,1427,1,4,4,1,21,12,1,25,14,168,1259,368,87,1278,0,0,0,0,24,38,18,69,69,150,1128,263,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,38,29
9907,1850,0,16,5,1,8,10,0,17,14,453,1397,302,6,1796,0,0,0,0,20,28,0,6,0,445,1351,262,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8,20,20
10100,2741,3,13,32,0,11,10,1,90,198,65,2676,2227,1604,272,0,303,0,112,128,322,0,1604,1481,7,265,127,0,0,0,0,303,291,0,0,0,0,112,61,29,99,62,29,293,205
10201,2181,0,3,0,1,7,7,0,14,42,17,2164,1878,1198,436,21,164,0,38,119,205,0,1198,1101,17,419,261,0,21,21,0,164,133,0,0,0,0,38,38,0,119,119,0,205,205
10202,1411,0,5,4,0,12,3,1,74,77,45,1366,1076,876,400,0,37,0,13,4,81,10,866,741,25,375,218,0,0,0,0,37,37,0,0,0,0,13,13,0,4,4,10,71,63
10300,3919,0,5,6,0,16,9,0,54,31,659,3260,1760,687,2065,30,31,0,440,64,602,0,687,586,225,1840,679,30,0,0,0,31,31,0,0,0,187,253,167,0,64,48,217,385,249
10400,3440,0,45,15,6,23,30,4,29,33,312,3128,649,398,2959,0,0,0,0,32,51,6,392,47,306,2653,602,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,51,0
10500,3584,0,10,5,0,13,9,1,21,40,298,3286,2663,2038,972,0,120,8,34,179,233,19,2019,1912,266,706,280,0,0,0,0,120,103,0,8,8,0,34,34,13,166,141,0,233,185
10601,1539,0,17,5,0,36,13,3,65,124,111,1428,1125,728,359,0,88,0,136,100,128,2,726,621,109,250,109,0,0,0,0,88,88,0,0,0,0,136,79,0,100,100,0,128,128
10602,4394,0,8,13,1,40,15,1,107,151,113,4281,3526,2409,1157,0,409,0,0,211,208,0,2409,2328,92,1065,441,0,0,0,0,409,359,0,0,0,0,0,0,21,190,190,0,208,208
10603,1493,0,5,9,1,51,4,0,34,41,20,1473,1273,1060,277,0,15,0,0,37,104,0,1060,1001,20,257,159,0,0,0,0,15,15,0,0,0,0,0,0,0,37,37,0,104,61
10700,1634,1,11,48,2,23,20,1,127,301,46,1588,1369,1102,67,0,104,71,30,34,226,46,1056,957,0,67,36,0,0,0,0,104,104,0,71,0,0,30,30,0,34,24,0,226,218
10800,790,0,1,5,0,4,3,0,27,88,16,774,663,348,58,19,240,0,25,41,59,0,348,309,6,52,19,0,19,0,10,230,221,0,0,0,0,25,25,0,41,33,0,59,56
10900,1904,0,16,1,1,13,7,0,22,44,196,1708,337,3,1663,0,12,0,0,217,9,0,3,3,184,1479,276,0,0,0,12,0,0,0,0,0,0,0,0,0,217,58,0,9,0
11001,2629,0,1,3,1,5,6,0,10,10,132,2497,1880,1426,719,0,29,0,0,107,348,16,1410,1196,70,649,426,0,0,0,0,29,29,0,0,0,0,0,0,46,61,43,0,348,186
11002,1777,0,1,0,0,0,1,0,4,4,19,1758,1366,1216,315,0,40,0,31,97,78,19,1197,907,0,315,261,0,0,0,0,40,40,0,0,0,0,31,14,0,97,83,0,78,61
11100,4963,0,27,19,3,55,39,2,141,110,974,3989,1933,596,2890,11,106,0,252,328,780,108,488,340,373,2517,1010,0,11,11,32,74,54,0,0,0,180,72,9,0,328,230,281,499,279
980000,13,0,3,0,1,2,1,0,16,14,0,13,13,13,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
