"tract","offense","lat","long","female_pop","male_pop","total_pop"
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1390,1523,2913
102,"THEFT F/AUTO","38.9038924725","-77.0580822088",1390,1523,2913
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT/OTHER","38.9060722107","-77.0586489134",1390,1523,2913
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT/OTHER","38.9055925925","-77.062833582",1390,1523,2913
102,"THEFT/OTHER","38.90508182","-77.0575874295",1390,1523,2913
102,"THEFT/OTHER","38.9038919404","-77.0591428602",1390,1523,2913
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1390,1523,2913
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT F/AUTO","38.90682812","-77.0602059903",1390,1523,2913
102,"MOTOR VEHICLE THEFT","38.9038914343","-77.0601343386",1390,1523,2913
102,"BURGLARY","38.9142112943","-77.0669460306",1390,1523,2913
102,"THEFT/OTHER","38.9045746677","-77.0627980986",1390,1523,2913
102,"ASSAULT W/DANGEROUS WEAPON","38.9045746677","-77.0627980986",1390,1523,2913
102,"BURGLARY","38.9092494365","-77.0638398866",1390,1523,2913
102,"THEFT/OTHER","38.9162194455","-77.0681701824",1390,1523,2913
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1390,1523,2913
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1390,1523,2913
102,"THEFT/OTHER","38.9038919404","-77.0591428602",1390,1523,2913
102,"ROBBERY","38.9125586702","-77.0577433595",1390,1523,2913
102,"THEFT/OTHER","38.9052068897","-77.0596742862",1390,1523,2913
102,"BURGLARY","38.90508182","-77.0575874295",1390,1523,2913
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1390,1523,2913
102,"THEFT F/AUTO","38.9008211973","-77.0569153469",1390,1523,2913
102,"THEFT/OTHER","38.9142112943","-77.0669460306",1390,1523,2913
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1390,1523,2913
102,"THEFT/OTHER","38.9072138708","-77.0632500673",1390,1523,2913
102,"BURGLARY","38.9055925925","-77.062833582",1390,1523,2913
