"tract","crime_count","total_pop","white_pop","black_pop","asian_pop","hisp_pop","no_hs","hs_graduate","college_graduate"
6500,"252","665784","477540","71820","7056","62496","4284","661500","535500"
6600,"168","290304","256032","4200","10920","8568","0","290304","264432"
6700,"238","935340","694484","140658","47124","39032","17850","917490","820386"
6801,"168","348936","174720","101304","37800","24696","7224","341712","249816"
6802,"158","312366","166848","118658","5688","12798","316","312050","234788"
6804,"76","185668","23864","141892","532","10792","47576","138092","22724"
6900,"342","669636","515736","114912","3420","13338","9576","660060","587556"
7000,"340","725560","562360","41480","25160","62560","27200","698360","634440"
7100,"378","910602","353052","406728","58590","57834","84672","825930","501606"
7201,"204","320280","210528","30396","7344","38760","0","320280","282948"
7202,"148","473304","388352","28268","21756","24716","8140","465164","447700"
7203,"186","383904","236220","103788","24366","14136","12090","371814","318060"
7301,"2","5382","3428","896","326","440","0","5382","3386"
7304,"344","974552","64672","868600","0","21328","180944","793608","146544"
7401,"148","141784","9620","110704","6512","7548","26788","114996","19092"
7403,"198","290268","0","274428","0","1980","37818","252450","18810"
7404,"196","503720","23520","428064","4116","20972","51156","452564","90944"
7406,"356","698650","15842","616770","1424","25988","76006","622644","153080"
7407,"114","0","0","0","0","0","0","0","0"
7408,"184","315376","13984","287040","0","4048","52072","263304","36984"
7409,"170","445400","1530","358190","8500","29070","132430","312970","56950"
7502,"410","1239840","18040","1212780","0","0","216890","1022950","153750"
7503,"386","608722","71796","492150","0","35512","93412","515310","130468"
7504,"190","326800","3040","312170","0","4940","58520","268280","58330"
7601,"592","2292224","248048","1822768","10656","121360","448144","1844080","709216"
7603,"406","1252510","48720","1138830","8932","24766","146972","1105538","634172"
7604,"332","1071032","56108","940224","14940","8964","98936","972096","290168"
7605,"332","1102240","49468","972096","1992","30876","105908","996332","247340"
7703,"346","1814424","5536","1496450","0","158122","181650","1632774","134594"
7706,"0","5490","154","4712","0","262","646","4844","1240"
7707,"181","0","0","0","0","0","0","0","0"
7708,"196","361228","0","350056","0","0","55468","305760","23128"
7709,"230","346380","6670","316480","0","5060","55890","290490","66240"
7803,"556","1653544","78952","1495640","13900","31136","280224","1373320","314696"
7804,"400","969200","30800","888400","5200","15200","150400","818800","261200"
7806,"572","1114256","32032","1043042","0","10296","83512","1030744","222794"
7807,"188","0","0","0","0","0","0","0","0"
7808,"362","1039664","6516","951336","0","56834","173036","866628","238558"
7809,"260","498680","260","462800","2600","18980","77480","421200","66560"
7901,"462","1662276","396858","1062600","12936","63756","97020","1565256","856548"
7903,"284","434520","107920","302460","10224","7952","29536","404984","193404"
8001,"308","789096","534688","180488","25564","33264","17864","771232","625240"
8002,"282","758016","546234","145512","7332","54426","24816","733200","606018"
8100,"220","665060","537240","36300","13420","46420","3960","661100","581460"
8200,"164","413444","326032","23124","9020","27388","492","412952","376872"
8301,"260","582660","439660","63960","38740","25740","6240","576420","520260"
8302,"398","911818","688540","76018","18308","59700","37014","874804","798388"
8402,"358","792612","486164","208714","6444","61218","23628","768984","649054"
8410,"374","535568","338470","118558","18700","16830","18700","516868","458150"
8701,"236","541148","231752","273288","17228","12980","42008","499140","379488"
8702,"342","1041048","427842","436392","46170","69426","69426","971622","686736"
8802,"566","2022318","504306","1402548","26602","65090","182252","1840066","819002"
8803,"812","1799392","259028","1162784","30044","181888","225736","1573656","530236"
8804,"440","929280","116600","685080","0","55440","152240","777040","289080"
8903,"296","680208","105968","508528","0","29896","39072","641136","333888"
8904,"314","1106850","154488","766160","11304","99538","260306","846544","348540"
9000,"406","1292298","84042","1125432","15834","35728","141694","1150604","522522"
9102,"1048","3506608","543912","2496336","93272","221128","588976","2917632","1290088"
9201,"228","456456","230280","157092","19152","33744","32604","423852","348840"
9203,"188","480152","112800","308320","5640","25380","25568","454584","248536"
9204,"202","456722","54136","259368","0","73528","116554","340168","91304"
9301,"398","1149424","561976","440984","56118","25074","46964","1102460","745056"
9302,"140","208180","52220","87080","3640","39480","26740","181440","100660"
9400,"320","1318080","280960","936000","16000","24000","102400","1215680","704000"
9503,"138","306084","61962","237636","4554","1932","16422","289662","170292"
9504,"270","718200","198180","368550","109620","25920","43470","674730","414450"
9505,"376","1200568","131224","899392","17296","47752","97008","1103560","484288"
9507,"62","92008","4154","62868","248","11656","10292","81716","26474"
9508,"188","664016","37224","460600","6956","73132","62792","601224","188376"
9509,"94","241486","28200","178036","0","16826","34498","206988","93154"
9510,"232","898536","57536","501352","12064","163792","239192","659344","180032"
9511,"28","5880","4340","700","0","560","196","5684","4592"
9601,"232","363080","13224","315520","232","16472","53592","309488","94424"
9602,"382","970280","27504","820154","4202","71052","103904","866376","218886"
9603,"702","2122848","0","2016846","9126","38610","237978","1884870","363636"
9604,"172","305988","14448","271760","0","11868","42484","263504","69660"
9700,"158","343808","12166","327376","0","3002","50876","292932","99382"
9801,"130","186420","3120","161070","0","12090","49920","136500","14820"
9802,"124","187488","8928","167896","1488","8060","27032","160456","31868"
9803,"212","454952","8268","418912","0","12508","92432","362520","36888"
9804,"164","254856","6068","234520","984","7216","22796","232060","48380"
9807,"286","767338","23738","671242","0","6578","44902","722436","147862"
9810,"136","250784","8432","219368","0","8432","9112","241672","17000"
9811,"228","573876","9348","553356","0","0","101232","472644","30552"
9901,"196","433748","39004","336140","10192","13132","31752","401996","214620"
9902,"234","650052","18018","615186","0","8424","71370","578682","97344"
9903,"146","249514","23798","224110","0","1606","24382","225132","67890"
9904,"266","491302","8512","402192","0","43890","73150","418152","94430"
9905,"240","416640","9600","389040","0","0","27360","389280","78720"
9906,"166","236882","14442","212148","0","6308","27888","208994","61088"
9907,"142","262700","852","255032","0","3976","64326","198374","42884"
10100,"716","1962556","1148464","194752","216948","230552","46540","1916016","1594532"
10201,"148","322788","177304","64528","24272","30340","2516","320272","277944"
10202,"352","496672","308352","140800","13024","28512","15840","480832","378752"
10300,"242","948398","166254","499730","7502","145684","159478","788920","425920"
10400,"370","1272800","147260","1094830","0","18870","115440","1157360","240130"
10500,"198","709632","403524","192456","23760","46134","59004","650628","527274"
10601,"526","809514","382928","188834","46288","67328","58386","751128","591750"
10602,"672","2952768","1618848","777504","274848","139776","75936","2876832","2369472"
10603,"290","432970","307400","80330","4350","30160","5800","427170","369170"
10700,"1068","1745112","1176936","71556","111072","241368","49128","1695984","1462092"
10800,"256","202240","89088","14848","61440","15104","4096","198144","169728"
10900,"208","396032","624","345904","2496","1872","40768","355264","70096"
11001,"72","189288","102672","51768","2088","25056","9504","179784","135360"
11002,"20","35540","24320","6300","800","1560","380","35160","27320"
11100,"792","3930696","472032","2288880","83952","617760","771408","3159288","1530936"
980000,"74","962","962","0","0","0","0","962","962"
