,tract,all,all_no,all_hs,all_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
166,9507,1484,166,1318,427,67,0,67,63,1014,32,982,229,0,0,0,0,4,0,4,4,0,0,0,0,188,67,121,54,23,0,23,23,188,67,121,54
167,9508,3532,334,3198,1002,198,0,198,162,2450,150,2300,698,73,15,58,0,37,11,26,2,0,0,0,0,244,65,179,7,141,14,127,68,389,79,310,65
168,9509,2569,367,2202,991,300,12,288,277,1894,102,1792,647,0,0,0,0,0,0,0,0,0,0,0,0,196,114,82,51,0,0,0,0,179,139,40,16
169,9510,3873,1031,2842,776,248,28,220,139,2161,200,1961,421,12,0,12,12,52,0,52,39,0,0,0,0,632,371,261,58,62,0,62,49,706,432,274,58
170,9511,210,7,203,164,155,0,155,135,25,7,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,4,20,0,20,14
171,9601,1565,231,1334,407,57,22,35,33,1360,209,1151,295,0,0,0,0,1,0,1,0,0,0,0,0,10,0,10,0,66,0,66,42,71,0,71,37
172,9602,2540,272,2268,573,72,0,72,72,2147,248,1899,259,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,124,12,112,100,186,12,174,142
173,9603,3024,339,2685,518,0,0,0,0,2873,307,2566,455,0,0,0,0,13,0,13,13,0,0,0,0,52,16,36,10,31,0,31,11,55,16,39,29
174,9604,1779,247,1532,405,84,7,77,71,1580,195,1385,316,22,11,11,4,0,0,0,0,0,0,0,0,11,6,5,0,13,2,11,5,69,26,43,9
175,9700,2176,322,1854,629,77,11,66,37,2072,305,1767,592,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,19,6,13,0
176,9801,1434,384,1050,114,24,0,24,6,1239,364,875,57,34,7,27,19,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,93,13,80,32
177,9802,1512,218,1294,257,72,17,55,0,1354,166,1188,257,0,0,0,0,12,0,12,0,0,0,0,0,9,9,0,0,0,0,0,0,65,26,39,0
178,9803,2146,436,1710,174,39,0,39,10,1976,346,1630,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,45,27,27,59,45,14,14
179,9804,1554,139,1415,295,37,13,24,14,1430,121,1309,243,0,0,0,0,6,0,6,6,0,0,0,0,12,0,12,0,25,5,20,0,44,0,44,32
180,9807,2683,157,2526,517,83,2,81,40,2347,155,2192,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,230,23,23,0,23,23
181,9810,1844,67,1777,125,62,0,62,0,1613,67,1546,125,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,78,0,78,0,62,0,62,0
182,9811,2517,444,2073,134,41,0,41,41,2427,426,2001,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,18,31,19,0,0,0,0
183,9901,2213,162,2051,1095,199,17,182,171,1715,137,1578,683,0,0,0,0,52,0,52,41,0,0,0,0,154,0,154,123,26,0,26,18,67,8,59,59
184,9902,2778,305,2473,416,77,2,75,47,2629,303,2326,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,0,36,0,36,0
185,9903,1709,167,1542,465,163,0,163,163,1535,167,1368,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,11
186,9904,1847,275,1572,355,32,0,32,5,1512,135,1377,319,0,0,0,0,0,0,0,0,15,0,15,0,72,70,2,0,51,0,51,31,165,70,95,0
187,9905,1736,114,1622,328,40,9,31,2,1621,105,1516,326,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,54,0,54,0,0,0,0,0
188,9906,1427,168,1259,368,87,18,69,69,1278,150,1128,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,7,38,0,38,29
189,9907,1850,453,1397,302,6,0,6,0,1796,445,1351,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,28,8,20,20
190,10100,2741,65,2676,2227,1604,0,1604,1481,272,7,265,127,0,0,0,0,303,0,303,291,0,0,0,0,112,0,112,61,128,29,99,62,322,29,293,205
191,10201,2181,17,2164,1878,1198,0,1198,1101,436,17,419,261,21,0,21,21,164,0,164,133,0,0,0,0,38,0,38,38,119,0,119,119,205,0,205,205
192,10202,1411,45,1366,1076,876,10,866,741,400,25,375,218,0,0,0,0,37,0,37,37,0,0,0,0,13,0,13,13,4,0,4,4,81,10,71,63
193,10300,3919,659,3260,1760,687,0,687,586,2065,225,1840,679,30,30,0,0,31,0,31,31,0,0,0,0,440,187,253,167,64,0,64,48,602,217,385,249
194,10400,3440,312,3128,649,398,6,392,47,2959,306,2653,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,0,51,0,51,0
195,10500,3584,298,3286,2663,2038,19,2019,1912,972,266,706,280,0,0,0,0,120,0,120,103,8,0,8,8,34,0,34,34,179,13,166,141,233,0,233,185
196,10601,1539,111,1428,1125,728,2,726,621,359,109,250,109,0,0,0,0,88,0,88,88,0,0,0,0,136,0,136,79,100,0,100,100,128,0,128,128
197,10602,4394,113,4281,3526,2409,0,2409,2328,1157,92,1065,441,0,0,0,0,409,0,409,359,0,0,0,0,0,0,0,0,211,21,190,190,208,0,208,208
198,10603,1493,20,1473,1273,1060,0,1060,1001,277,20,257,159,0,0,0,0,15,0,15,15,0,0,0,0,0,0,0,0,37,0,37,37,104,0,104,61
199,10700,1634,46,1588,1369,1102,46,1056,957,67,0,67,36,0,0,0,0,104,0,104,104,71,0,71,0,30,0,30,30,34,0,34,24,226,0,226,218
200,10800,790,16,774,663,348,0,348,309,58,6,52,19,19,0,19,0,240,10,230,221,0,0,0,0,25,0,25,25,41,0,41,33,59,0,59,56
201,10900,1904,196,1708,337,3,0,3,3,1663,184,1479,276,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,217,0,217,58,9,0,9,0
202,11001,2629,132,2497,1880,1426,16,1410,1196,719,70,649,426,0,0,0,0,29,0,29,29,0,0,0,0,0,0,0,0,107,46,61,43,348,0,348,186
203,11002,1777,19,1758,1366,1216,19,1197,907,315,0,315,261,0,0,0,0,40,0,40,40,0,0,0,0,31,0,31,14,97,0,97,83,78,0,78,61
204,11100,4963,974,3989,1933,596,108,488,340,2890,373,2517,1010,11,0,11,11,106,32,74,54,0,0,0,0,252,180,72,9,328,0,328,230,780,281,499,279
205,980000,13,0,13,13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
