tract,total,total_no,total_hs,total_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
002501,1306,193,1113,711,311,0,311,289,447,73,374,115,0,0,0,0,34,0,34,25,0,0,0,0,216,57,159,139,20,0,20,0,278,63,215,143
002503,1605,436,1169,714,575,18,557,468,368,84,284,59,0,0,0,0,51,0,51,51,0,0,0,0,176,158,18,0,58,0,58,58,377,176,201,78
002504,1784,579,1205,684,561,121,440,305,294,67,227,161,0,0,0,0,106,0,106,106,0,0,0,0,236,135,101,0,67,0,67,58,520,256,264,54
002600,1249,14,1235,1044,369,0,369,356,595,0,595,533,8,0,8,8,55,0,55,47,0,0,0,0,84,0,84,32,14,7,7,5,124,7,117,63
002702,2731,388,2343,1790,1597,44,1553,1376,247,38,209,59,0,0,0,0,162,0,162,162,0,0,0,0,234,123,111,34,121,31,90,90,370,152,218,69
002703,1191,281,910,713,608,63,545,539,278,50,228,57,0,0,0,0,8,0,8,8,0,0,0,0,71,55,16,16,37,0,37,17,189,113,76,76
002704,1594,222,1372,927,517,0,517,481,634,0,634,236,59,59,0,0,37,0,37,37,0,0,0,0,52,52,0,0,74,0,74,74,221,111,110,99
002801,2026,242,1784,1206,689,9,680,645,468,18,450,185,0,0,0,0,177,12,165,140,0,0,0,0,230,97,133,39,81,0,81,66,381,106,275,131
002802,2591,442,2149,1671,869,43,826,793,527,195,332,59,0,0,0,0,477,31,446,445,0,0,0,0,231,65,166,92,91,0,91,91,396,108,288,191
002900,2053,355,1698,1234,803,55,748,740,503,47,456,171,0,0,0,0,114,0,114,114,0,0,0,0,213,84,129,47,81,14,67,67,339,155,184,95
003000,1992,236,1756,1171,730,31,699,668,754,78,676,243,0,0,0,0,112,0,112,112,0,0,0,0,75,40,35,0,42,8,34,21,279,79,200,127
003100,1890,192,1698,1413,806,0,806,806,436,39,397,143,25,25,0,0,75,14,61,61,0,0,0,0,232,57,175,163,44,0,44,37,272,57,215,203
003200,2533,879,1654,926,504,0,504,474,1033,325,708,252,0,0,0,0,84,1,83,69,0,0,0,0,370,249,121,31,22,0,22,22,520,304,216,78
003301,1641,153,1488,1257,823,30,793,685,585,94,491,377,0,0,0,0,110,0,110,101,0,0,0,0,15,0,15,15,26,0,26,26,82,29,53,53
003302,897,33,864,750,404,0,404,375,365,13,352,291,0,0,0,0,42,10,32,31,0,0,0,0,23,0,23,0,21,0,21,21,42,10,32,32
003400,1576,150,1426,654,347,0,347,339,476,150,326,116,0,0,0,0,30,0,30,30,0,0,0,0,0,0,0,0,442,0,442,162,281,0,281,7
003500,1257,121,1136,720,472,0,472,472,473,43,430,103,2,0,2,2,75,0,75,75,0,0,0,0,64,39,25,0,59,0,59,46,112,39,73,22
003600,2401,267,2134,1831,1173,32,1141,1141,756,203,553,348,0,0,0,0,128,0,128,128,0,0,0,0,66,0,66,17,49,0,49,49,229,32,197,148
003701,872,138,734,562,398,15,383,349,130,50,80,49,0,0,0,0,89,0,89,18,0,0,0,0,35,17,18,0,79,0,79,79,141,56,85,67
003702,1142,142,1000,533,291,0,291,291,674,142,532,89,0,0,0,0,82,0,82,82,0,0,0,0,26,0,26,26,12,0,12,0,57,0,57,45
003801,931,0,931,882,600,0,600,600,41,0,41,12,0,0,0,0,56,0,56,36,0,0,0,0,23,0,23,23,68,0,68,68,143,0,143,143
003802,1368,96,1272,1132,674,58,616,580,131,30,101,35,14,0,14,0,115,0,115,115,0,0,0,0,28,4,24,0,276,0,276,276,130,4,126,126
003901,1401,101,1300,1263,802,46,756,738,464,55,409,390,0,0,0,0,56,0,56,56,0,0,0,0,10,0,10,10,13,0,13,13,56,0,56,56
003902,765,68,697,621,512,8,504,475,47,0,47,0,0,0,0,0,103,60,43,43,0,0,0,0,0,0,0,0,52,0,52,52,51,0,51,51
004001,2008,66,1942,1864,1550,39,1511,1461,137,0,137,137,0,0,0,0,76,0,76,48,0,0,0,0,0,0,0,0,105,0,105,105,140,27,113,113
004002,1842,0,1842,1765,1597,0,1597,1520,59,0,59,59,0,0,0,0,121,0,121,121,0,0,0,0,0,0,0,0,27,0,27,27,38,0,38,38
004100,1247,42,1205,1106,849,0,849,795,42,42,0,0,0,0,0,0,135,0,135,120,0,0,0,0,15,0,15,0,124,0,124,124,82,0,82,67
004201,1636,92,1544,1467,1277,46,1231,1202,77,0,77,67,0,0,0,0,71,0,71,71,0,0,0,0,19,0,19,0,0,0,0,0,192,46,146,127
004202,1178,0,1178,1163,827,0,827,812,15,0,15,15,0,0,0,0,166,0,166,166,0,0,0,0,8,0,8,8,9,0,9,9,153,0,153,153
004300,2018,136,1882,1657,1199,0,1199,1157,300,60,240,104,15,0,15,15,153,0,153,125,0,0,0,0,38,38,0,0,198,0,198,198,115,38,77,58
004401,1319,65,1254,1210,751,0,751,739,268,44,224,192,0,0,0,0,157,0,157,157,0,0,0,0,27,0,27,27,44,0,44,44,72,21,51,51
004402,970,23,947,675,400,0,400,400,222,23,199,90,0,0,0,0,73,0,73,61,0,0,0,0,56,0,56,56,163,0,163,12,56,0,56,56
004600,1234,79,1155,787,391,5,386,372,682,47,635,281,0,0,0,0,104,27,77,77,0,0,0,0,0,0,0,0,34,0,34,34,23,0,23,23
004702,1904,103,1801,1559,1183,0,1183,1146,396,81,315,165,7,0,7,7,102,0,102,102,0,0,0,0,34,11,23,0,50,0,50,41,132,11,121,98
004703,1554,287,1267,740,630,11,619,600,319,37,282,1,0,0,0,0,347,228,119,119,0,0,0,0,104,0,104,0,3,0,3,3,151,11,140,17
004704,705,101,604,103,0,0,0,0,602,101,501,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,51,0,51,51,51,0,51,51
004801,1179,70,1109,784,531,11,520,510,501,48,453,204,0,0,0,0,25,0,25,25,0,0,0,0,38,0,38,23,37,0,37,11,47,11,36,11
004802,1529,142,1387,1068,543,2,541,541,518,87,431,155,0,0,0,0,166,27,139,96,0,0,0,0,93,13,80,80,33,0,33,33,176,13,163,163
004901,1351,98,1253,943,794,8,786,767,423,81,342,83,0,0,0,0,26,1,25,25,0,0,0,0,0,0,0,0,5,0,5,5,103,8,95,63
004902,1705,95,1610,1348,834,0,834,834,494,95,399,181,0,0,0,0,191,0,191,173,0,0,0,0,14,0,14,14,51,0,51,38,121,0,121,108
005001,782,32,750,654,499,16,483,473,102,0,102,29,0,0,0,0,114,0,114,114,0,0,0,0,13,0,13,0,15,0,15,15,39,16,23,23
005003,599,47,552,535,302,21,281,281,67,5,62,45,0,0,0,0,90,0,90,90,0,0,0,0,0,0,0,0,86,0,86,86,54,21,33,33
