tract,total,total_no,total_hs,total_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
007603,2073,206,1867,1064,50,0,50,13,1952,206,1746,996,0,0,0,0,22,0,22,21,0,0,0,0,0,0,0,0,28,0,28,13,21,0,21,21
007604,1803,73,1730,567,73,0,73,55,1630,51,1579,466,0,0,0,0,19,0,19,8,0,0,0,0,0,0,0,0,81,22,59,38,0,0,0,0
007605,2020,156,1864,551,106,0,106,62,1745,156,1589,374,0,0,0,0,6,0,6,6,0,0,0,0,27,0,27,0,66,0,66,66,70,0,70,43
007703,2587,318,2269,286,0,0,0,0,2344,200,2144,251,0,0,0,0,0,0,0,0,0,0,0,0,104,59,45,0,12,0,12,12,127,59,68,23
007707,1435,133,1302,326,29,3,26,26,1365,110,1255,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,20,21,3,0,0,0,0
007708,1088,116,972,62,0,0,0,0,1062,116,946,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0
007709,867,152,715,157,13,0,13,11,786,152,634,136,61,0,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,5
007803,1673,271,1402,285,20,0,20,12,1556,271,1285,234,0,0,0,0,25,0,25,25,0,0,0,0,23,0,23,0,26,0,26,14,23,0,23,0
007804,1428,123,1305,298,26,6,20,14,1333,117,1216,275,0,0,0,0,7,0,7,7,0,0,0,0,0,0,0,0,62,0,62,2,0,0,0,0
007806,1057,80,977,434,66,0,66,59,962,80,882,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,22,7,0,7,0
007807,776,117,659,103,1,0,1,1,741,110,631,101,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,13,7,6,0,11,0,11,1
007808,1474,168,1306,387,18,0,18,18,1403,168,1235,364,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,38,0,38,5
007809,1121,196,925,201,1,0,1,0,1074,196,878,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,32,0,32,0
007901,1863,167,1696,822,477,0,477,446,1119,152,967,151,0,0,0,0,11,0,11,11,0,0,0,0,14,0,14,14,204,0,204,177,38,15,23,23
007903,833,26,807,356,184,0,184,184,617,26,591,149,0,0,0,0,25,0,25,16,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7
008001,1299,57,1242,920,778,0,778,720,384,57,327,94,0,0,0,0,33,0,33,18,0,0,0,0,0,0,0,0,38,0,38,38,66,0,66,50
008002,1343,19,1324,1129,978,0,978,960,244,19,225,48,0,0,0,0,19,0,19,19,0,0,0,0,0,0,0,0,16,0,16,16,86,0,86,86
008100,1525,0,1525,1395,1271,0,1271,1227,92,0,92,37,0,0,0,0,37,0,37,37,0,0,0,0,24,0,24,0,42,0,42,35,59,0,59,59
008200,1412,0,1412,1376,1141,0,1141,1114,72,0,72,63,0,0,0,0,23,0,23,23,0,0,0,0,37,0,37,37,44,0,44,44,95,0,95,95
008301,911,0,911,822,732,0,732,695,106,0,106,54,0,0,0,0,24,0,24,24,0,0,0,0,12,0,12,12,0,0,0,0,37,0,37,37
